txn_id,branch,status,account_type,txn_type,country,amount,customer_id,txn_datetime
TXN001,Bangalore,success,rd,debit,USA,210041.72,CUST016,2026-06-26 16:35:52.832884
TXN001,Chennai,success,senior,credit,India,123925.85,CUST011,2026-07-04 16:35:52.832906
TXN001,Delhi,failed,nri,debit,UAE,47598.97,CUST019,2026-06-17 16:35:52.833026
TXN001,Bangalore,failed,business,credit,UAE,71277.16,CUST009,2026-06-14 16:35:52.833037
TXN001,Mumbai,success,current,credit,USA,302793.08,CUST007,2026-06-16 16:35:52.833043
TXN001,Delhi,success,senior,credit,USA,115468.66,CUST004,2026-06-24 16:35:52.833048
TXN001,Chennai,failed,nri,credit,India,352059.94,CUST012,2026-06-18 16:35:52.833054
TXN001,Bangalore,success,business,debit,India,242222.1,CUST017,2026-06-12 16:35:52.833062
TXN001,Chennai,failed,salary,debit,India,150980.22,CUST015,2026-06-16 16:35:52.833067
TXN001,Chennai,success,current,credit,India,172800.12,CUST015,2026-06-23 16:35:52.833072
TXN001,Mumbai,failed,senior,credit,India,158438.39,CUST011,2026-06-29 16:35:52.833077
TXN001,Chennai,success,current,debit,UAE,182629.9,CUST011,2026-06-06 16:35:52.833083
TXN001,Bangalore,pending,nri,credit,UAE,159220.25,CUST018,2026-06-29 16:35:52.833088
TXN001,Hyderabad,success,business,debit,UAE,110353.34,CUST018,2026-06-07 16:35:52.833093
TXN001,Delhi,failed,fd,credit,USA,43366.73,CUST015,2026-06-25 16:35:52.833097
TXN001,Delhi,success,nri,debit,UAE,153597.34,CUST018,2026-06-19 16:35:52.833102
TXN001,Hyderabad,success,joint,debit,USA,11256.26,CUST011,2026-07-03 16:35:52.833107
TXN001,Bangalore,pending,business,debit,USA,142422.73,CUST014,2026-06-18 16:35:52.833113
TXN001,Mumbai,failed,senior,debit,UAE,358006.34,CUST006,2026-06-08 16:35:52.833119
TXN001,Mumbai,pending,fd,credit,USA,240810.73,CUST015,2026-06-04 16:35:52.833124
TXN001,Chennai,success,current,credit,India,460979.2,CUST017,2026-06-22 16:35:52.833129
TXN001,Chennai,pending,savings,credit,UAE,14692.0,CUST006,2026-07-03 16:35:52.833132
TXN001,Mumbai,success,student,credit,India,83947.03,CUST006,2026-07-04 16:35:52.833136
TXN001,Chennai,failed,rd,debit,India,380182.76,CUST010,2026-06-05 16:35:52.833139
TXN001,Delhi,failed,current,credit,UAE,329739.12,CUST003,2026-06-04 16:35:52.833142
TXN001,Chennai,failed,rd,debit,India,13789.8,CUST001,2026-06-17 16:35:52.833147
TXN001,Delhi,success,current,credit,UAE,309686.76,CUST006,2026-06-26 16:35:52.833151
TXN001,Chennai,failed,rd,debit,UAE,89086.95,CUST009,2026-06-28 16:35:52.833154
TXN001,Hyderabad,success,fd,credit,India,21497.49,CUST004,2026-06-07 16:35:52.833158
TXN001,Mumbai,failed,fd,debit,India,75680.21,CUST007,2026-07-01 16:35:52.833162
TXN001,Bangalore,success,joint,credit,USA,344574.93,CUST012,2026-06-14 16:35:52.833165
TXN001,Bangalore,success,rd,debit,India,214240.25,CUST002,2026-06-15 16:35:52.833169
TXN001,Hyderabad,success,business,credit,India,274089.97,CUST020,2026-07-02 16:35:52.833173
TXN001,Mumbai,failed,senior,credit,India,228973.19,CUST015,2026-06-15 16:35:52.833176
TXN001,Delhi,success,business,credit,India,222044.84,CUST014,2026-06-21 16:35:52.833180
TXN001,Chennai,failed,fd,debit,USA,60736.68,CUST010,2026-06-28 16:35:52.833183
TXN001,Mumbai,pending,senior,credit,India,264483.18,CUST018,2026-06-22 16:35:52.833186
TXN001,Delhi,failed,joint,debit,UAE,127667.43,CUST008,2026-06-17 16:35:52.833189
TXN001,Delhi,pending,business,debit,UAE,78445.05,CUST001,2026-06-21 16:35:52.833193
TXN001,Chennai,failed,joint,debit,USA,350262.96,CUST005,2026-06-18 16:35:52.833196
TXN001,Mumbai,success,fd,credit,USA,432222.66,CUST016,2026-06-20 16:35:52.833199
TXN001,Mumbai,failed,current,credit,USA,430041.15,CUST016,2026-06-22 16:35:52.833203
TXN001,Mumbai,success,nri,credit,UAE,305931.51,CUST017,2026-06-16 16:35:52.833206
TXN001,Delhi,failed,rd,credit,USA,32089.72,CUST001,2026-07-03 16:35:52.833210
TXN001,Hyderabad,success,current,debit,India,365977.11,CUST004,2026-06-28 16:35:52.833213
TXN001,Hyderabad,success,rd,debit,India,138679.07,CUST005,2026-06-22 16:35:52.833217
TXN001,Delhi,pending,student,debit,UAE,241669.87,CUST016,2026-06-15 16:35:52.833220
TXN001,Chennai,failed,nri,debit,UAE,215672.69,CUST009,2026-07-04 16:35:52.833223
TXN001,Delhi,success,savings,debit,India,341710.44,CUST018,2026-06-13 16:35:52.833229
TXN001,Bangalore,failed,current,debit,USA,461459.21,CUST015,2026-06-29 16:35:52.833232
TXN001,Hyderabad,success,current,debit,USA,131502.25,CUST014,2026-07-03 16:35:52.833235
TXN001,Mumbai,success,rd,debit,India,392141.07,CUST010,2026-06-06 16:35:52.833239
TXN001,Mumbai,success,senior,debit,UAE,272718.44,CUST002,2026-06-08 16:35:52.833242
TXN001,Delhi,failed,nri,debit,India,187102.19,CUST011,2026-06-28 16:35:52.833245
TXN001,Chennai,failed,student,debit,India,98105.04,CUST012,2026-06-14 16:35:52.833249
TXN001,Bangalore,failed,senior,credit,India,173900.41,CUST014,2026-06-19 16:35:52.833252
TXN001,Delhi,success,nri,debit,India,42681.89,CUST014,2026-06-11 16:35:52.833255
TXN001,Chennai,pending,salary,debit,USA,95090.14,CUST001,2026-06-23 16:35:52.833259
TXN001,Mumbai,success,current,credit,USA,326509.03,CUST006,2026-06-17 16:35:52.833262
TXN001,Chennai,failed,current,debit,USA,492081.38,CUST003,2026-06-08 16:35:52.833265
TXN001,Delhi,success,nri,credit,USA,22156.8,CUST003,2026-06-04 16:35:52.833269
TXN001,Bangalore,success,business,credit,India,180701.21,CUST015,2026-06-28 16:35:52.833272
TXN001,Bangalore,failed,fd,credit,USA,436507.69,CUST007,2026-06-23 16:35:52.833275
TXN001,Hyderabad,success,joint,debit,UAE,185102.29,CUST014,2026-06-28 16:35:52.833278
TXN001,Bangalore,success,rd,debit,UAE,258518.54,CUST001,2026-06-04 16:35:52.833281
TXN001,Mumbai,pending,current,credit,India,164532.06,CUST012,2026-06-28 16:35:52.833285
TXN001,Delhi,success,business,credit,USA,398941.19,CUST013,2026-06-30 16:35:52.833288
TXN001,Chennai,failed,salary,debit,USA,73814.03,CUST007,2026-07-03 16:35:52.833293
TXN001,Chennai,success,fd,credit,India,241685.74,CUST010,2026-06-05 16:35:52.833297
TXN001,Bangalore,success,student,debit,India,483890.21,CUST017,2026-06-11 16:35:52.833300
TXN001,Mumbai,pending,fd,credit,India,434197.95,CUST003,2026-06-08 16:35:52.833303
TXN001,Delhi,success,business,debit,UAE,6583.66,CUST013,2026-06-15 16:35:52.833308
TXN001,Chennai,success,fd,debit,USA,318184.89,CUST005,2026-06-10 16:35:52.833311
TXN001,Chennai,pending,current,credit,India,389951.45,CUST017,2026-06-30 16:35:52.833314
TXN001,Hyderabad,failed,fd,debit,India,406220.78,CUST016,2026-06-26 16:35:52.833317
TXN001,Mumbai,success,current,debit,India,242294.62,CUST013,2026-06-30 16:35:52.833321
TXN001,Chennai,failed,savings,credit,UAE,76338.34,CUST017,2026-06-29 16:35:52.833324
TXN001,Hyderabad,pending,business,debit,India,45558.2,CUST014,2026-06-23 16:35:52.833328
TXN001,Mumbai,success,student,debit,USA,455575.61,CUST003,2026-06-06 16:35:52.833332
TXN001,Mumbai,success,business,debit,UAE,121801.88,CUST020,2026-07-02 16:35:52.833335
TXN001,Mumbai,success,joint,credit,USA,420145.45,CUST003,2026-06-24 16:35:52.833338
TXN001,Hyderabad,pending,joint,credit,USA,341967.23,CUST013,2026-06-14 16:35:52.833341
TXN001,Chennai,failed,current,debit,UAE,140981.72,CUST003,2026-06-06 16:35:52.833345
TXN001,Chennai,success,student,credit,USA,158716.29,CUST020,2026-06-21 16:35:52.833348
TXN001,Chennai,pending,savings,debit,India,478772.36,CUST016,2026-07-02 16:35:52.833351
TXN001,Hyderabad,pending,senior,debit,UAE,203440.07,CUST013,2026-06-20 16:35:52.833355
TXN001,Bangalore,success,current,debit,USA,69598.79,CUST004,2026-06-26 16:35:52.833359
TXN001,Mumbai,success,business,debit,India,104929.03,CUST002,2026-06-30 16:35:52.833363
TXN001,Bangalore,failed,business,debit,UAE,241672.11,CUST014,2026-06-21 16:35:52.833367
TXN001,Mumbai,success,nri,debit,USA,255425.19,CUST004,2026-06-09 16:35:52.833370
TXN001,Chennai,pending,nri,credit,India,244623.51,CUST012,2026-06-21 16:35:52.833373
TXN001,Chennai,success,joint,credit,USA,182203.8,CUST012,2026-06-30 16:35:52.833395
TXN001,Delhi,pending,joint,debit,UAE,242714.57,CUST005,2026-06-16 16:35:52.833399
TXN001,Hyderabad,pending,savings,credit,India,216072.73,CUST016,2026-07-02 16:35:52.833402
TXN001,Hyderabad,success,current,debit,UAE,124407.05,CUST002,2026-06-26 16:35:52.833406
TXN001,Delhi,success,salary,credit,India,443875.23,CUST005,2026-06-29 16:35:52.833409
TXN001,Mumbai,success,nri,debit,USA,60702.79,CUST010,2026-06-07 16:35:52.833412
TXN001,Bangalore,success,fd,debit,India,484049.87,CUST002,2026-07-03 16:35:52.833416
TXN001,Chennai,success,student,debit,India,475872.4,CUST006,2026-06-17 16:35:52.833419
TXN001,Chennai,pending,nri,credit,India,96436.55,CUST001,2026-06-09 16:35:52.833423
